line_item_id,event_date_local,impressions,clicks,media_cost_usd,billing_month
LI-5007,2026-06-25,13963,20,41.18,2026-06
LI-5015,2026-05-04,12969,15,39.54,2026-05
LI-5104,2026-06-22,3508,2,8.65,2026-06
LI-5003,2026-06-25,15162,10,42.86,2026-06
LI-5103,2026-04-14,3942,4,13.45,2026-04
LI-5006,2026-05-05,45726,29,119.1,2026-05
LI-5012,2026-06-03,19427,27,77.82,2026-06
LI-5009,2026-04-05,18546,38,36.12,2026-04
LI-5003,2026-04-06,15376,30,29.78,2026-04
LI-5005,2026-06-02,8099,13,22.97,2026-06
LI-5106,2026-06-05,8732,5,34.15,2026-06
LI-5002,2026-05-25,8056,14,32.67,2026-05
LI-5999,2026-04-06,28820,55,102.19,2026-04
LI-5007,2026-05-27,10087,6,35.67,2026-05
LI-5015,2026-06-02,11469,19,32.46,2026-06
LI-5101,2026-06-20,9577,7,31.27,2026-06
LI-5006,2026-04-02,68759,39,177.52,2026-04
LI-5003,2026-04-22,14188,27,34.35,2026-04
LI-5106,2026-05-28,9114,16,34.3,2026-05
LI-5016,2026-06-19,24009,18,72.75,2026-06
LI-5001,2026-04-24,61293,54,108.72,2026-04
LI-5003,2026-04-26,11055,8,38.57,2026-04
LI-5007,2026-06-14,13981,27,30.12,2026-06
LI-5010,2026-04-07,36112,43,109.58,2026-04
LI-5016,2026-06-18,32939,54,122.11,2026-06
LI-5101,2026-05-03,4881,6,9.1,2026-05
LI-5001,2026-04-03,40840,75,85.51,2026-04
LI-5105,2026-05-31,5930,8,20.03,2026-06
LI-5102,2026-06-07,6810,7,15.84,2026-06
LI-5012,2026-04-05,15950,27,31.65,2026-04
LI-5004,2026-06-11,43140,56,162.84,2026-06
LI-5015,2026-04-02,10809,16,36.34,2026-04
LI-5002,2026-05-30,11534,22,47.86,2026-05
LI-5007,2026-06-30,5166,8,10.11,2026-06
LI-5013,2026-06-06,2765,3,8.31,2026-06
LI-5003,2026-04-18,16699,24,49.71,2026-04
LI-5104,2026-05-15,3906,3,6.42,2026-05
LI-5104,2026-04-25,2082,2,5.88,2026-04
LI-5103,2026-04-30,2963,5,9.95,2026-05
LI-5008,2026-05-03,10279,15,22.86,2026-05
LI-5012,2026-06-30,17073,17,59.41,2026-06
LI-5009,2026-04-25,26123,24,43.1,2026-04
LI-5104,2026-06-23,3879,4,10.97,2026-06
LI-5106,2026-05-21,7465,9,12.94,2026-05
LI-5002,2026-05-07,9280,7,18.25,2026-05
LI-5010,2026-05-13,28751,28,92.56,2026-05
LI-5005,2026-04-25,5833,10,16.68,2026-04
LI-5001,2026-05-03,43845,27,150.75,2026-05
LI-5013,2026-06-03,3371,4,10.86,2026-06
LI-5014,2026-05-02,14572,9,39.66,2026-05
LI-5010,2026-05-18,35648,18,81.68,2026-05
LI-5103,2026-05-30,4600,9,16.42,2026-05
LI-5103,2026-04-08,2602,3,5.11,2026-04
LI-5101,2026-04-17,6668,13,11.98,2026-04
LI-5006,2026-06-04,38194,29,135.25,2026-06
LI-5005,2026-06-22,8152,7,30.49,2026-06
LI-5007,2026-06-22,13622,16,40.93,2026-06
LI-5010,2026-04-22,35344,18,102.19,2026-04
LI-5014,2026-06-28,10253,11,22.04,2026-06
LI-5010,2026-05-04,29131,59,120.09,2026-05
LI-5008,2026-06-01,12253,9,35.33,2026-06
LI-5105,2026-04-09,8573,8,33.97,2026-04
LI-5010,2026-04-18,15505,17,44.52,2026-04
LI-5101,2026-04-21,9840,13,39.78,2026-04
LI-5105,2026-06-25,7053,13,17.84,2026-06
LI-5007,2026-04-20,13436,26,41.93,2026-04
LI-5002,2026-04-17,13328,20,28.2,2026-04
LI-5104,2026-05-07,3764,3,10.12,2026-05
LI-5015,2026-05-11,10791,14,31.68,2026-05
LI-5102,2026-05-16,8190,6,18.55,2026-05
LI-5015,2026-05-31,9966,19,20.5,2026-06
LI-5001,2026-04-22,42600,19,130.53,2026-04
LI-5101,2026-04-24,9689,6,27.19,2026-04
LI-5106,2026-06-13,8918,18,21.06,2026-06
LI-5012,2026-06-02,23802,13,81.07,2026-06
LI-5103,2026-05-10,5132,9,12.92,2026-05
LI-5104,2026-06-10,3901,3,15.2,2026-06
LI-5102,2026-04-26,8150,11,28.58,2026-04
LI-5010,2026-04-06,53898,78,112.62,2026-04
LI-5015,2026-05-22,13303,13,32.41,2026-05
LI-5002,2026-05-18,8556,14,22.44,2026-05
LI-5001,2026-06-01,58898,97,154.21,2026-06
LI-5005,2026-04-21,5949,6,23.35,2026-04
LI-5015,2026-06-17,13298,20,23.13,2026-06
LI-5102,2026-06-20,7049,4,13.36,2026-06
LI-5101,2026-06-24,10206,12,26.63,2026-06
LI-5106,2026-04-02,8970,10,20.62,2026-04
LI-5003,2026-04-17,14913,11,48.34,2026-04
LI-5008,2026-04-17,5930,4,13.99,2026-04
LI-5106,2026-06-04,9510,12,30.86,2026-06
LI-5010,2026-06-30,36862,44,143.7,2026-06
LI-5009,2026-06-08,26454,11,76.89,2026-06
LI-5005,2026-05-10,5434,3,19.17,2026-05
LI-5004,2026-06-10,35087,47,128.85,2026-06
LI-5013,2026-05-17,4432,2,10.9,2026-05
LI-5106,2026-06-11,8206,9,16.02,2026-06
LI-5001,2026-04-04,19029,33,53.98,2026-04
LI-5001,2026-04-07,40317,53,157.84,2026-04
LI-5011,2026-05-14,5995,4,21.27,2026-05
LI-5005,2026-04-20,4411,5,12.89,2026-04
LI-5004,2026-05-06,36019,18,65.73,2026-05
LI-5105,2026-05-27,10280,19,31.84,2026-05
LI-5011,2026-04-30,8125,10,26.82,2026-05
LI-5011,2026-06-21,6901,7,20.66,2026-06
LI-5005,2026-05-19,7870,10,22.95,2026-05
LI-5106,2026-04-13,4976,2,20.8,2026-04
LI-5013,2026-05-09,4521,4,9.38,2026-05
LI-5105,2026-06-24,7717,12,26.72,2026-06
LI-5002,2026-04-08,11905,16,33.94,2026-04
LI-5011,2026-05-27,5633,6,13.2,2026-05
LI-5007,2026-05-02,10699,17,37.19,2026-05
LI-5104,2026-04-07,2952,3,9.98,2026-04
LI-5004,2026-04-30,33939,24,76.27,2026-04
LI-5001,2026-05-08,59822,66,155.4,2026-05
LI-5016,2026-06-28,33595,13,108.61,2026-06
LI-5013,2026-06-11,5661,7,23.55,2026-06
LI-5004,2026-05-21,24934,47,44.98,2026-05
LI-5006,2026-05-30,24634,22,64.75,2026-05
LI-5014,2026-04-13,17044,34,56.43,2026-04
LI-5004,2026-04-25,43198,82,157.21,2026-04
LI-5106,2026-04-01,10721,19,30.96,2026-04
LI-5015,2026-05-01,12554,15,49.66,2026-05
LI-5101,2026-05-07,5942,2,21.83,2026-05
LI-5103,2026-04-13,5220,8,12.92,2026-04
LI-5102,2026-05-03,5992,7,20.06,2026-05
LI-5006,2026-05-31,61097,48,108.63,2026-05
LI-5001,2026-05-16,35037,40,56.93,2026-05
LI-5014,2026-05-31,17295,30,53.96,2026-05
LI-5008,2026-05-29,8011,6,26.98,2026-05
LI-5007,2026-04-30,13752,15,45.9,2026-05
LI-5103,2026-06-15,2783,5,4.95,2026-06
LI-5014,2026-05-11,17619,36,31.21,2026-05
LI-5001,2026-05-28,37235,58,97.16,2026-05
LI-5106,2026-04-19,6417,2,24.41,2026-04
LI-5106,2026-06-07,6226,4,17.94,2026-06
LI-5002,2026-06-08,7360,5,18.19,2026-06
LI-5013,2026-06-25,5879,12,13.69,2026-06
LI-5105,2026-04-01,8245,5,33.18,2026-04
LI-5103,2026-06-21,3942,2,7.72,2026-06
LI-5105,2026-05-29,7369,4,21.56,2026-05
LI-5103,2026-04-15,4488,7,12.59,2026-04
LI-5007,2026-05-01,6377,8,14.45,2026-05
LI-5007,2026-04-16,12370,8,25.56,2026-04
LI-5006,2026-04-23,46392,28,173.7,2026-04
LI-5011,2026-06-29,8444,14,17.17,2026-06
LI-5011,2026-06-03,7261,10,22.04,2026-06
LI-5012,2026-04-17,17822,27,51.71,2026-04
LI-5010,2026-04-03,39793,19,69.32,2026-04
LI-5009,2026-04-20,25544,40,77.13,2026-04
LI-5002,2026-04-05,10131,14,27.81,2026-04
LI-5015,2026-04-09,8945,8,28.28,2026-04
LI-5010,2026-04-20,30264,17,83.08,2026-04
LI-5007,2026-05-04,10942,20,34.67,2026-05
LI-5015,2026-05-17,13929,20,23.25,2026-05
LI-5002,2026-04-26,10646,9,22.96,2026-04
LI-5003,2026-06-17,20698,21,38.41,2026-06
LI-5106,2026-05-23,10813,17,44.9,2026-05
LI-5106,2026-05-09,8436,8,20.04,2026-05
LI-5103,2026-04-29,4031,4,15.32,2026-04
LI-5001,2026-04-09,49948,53,138.74,2026-04
LI-5003,2026-05-07,15035,8,25.52,2026-05
LI-5005,2026-04-03,6325,6,11.59,2026-04
LI-5003,2026-04-14,15318,19,41.9,2026-04
LI-5008,2026-06-02,8758,13,26.49,2026-06
LI-5104,2026-04-02,4097,2,10.31,2026-04
LI-5103,2026-04-04,3979,7,16.18,2026-04
LI-5106,2026-04-07,8317,15,16.03,2026-04
LI-5009,2026-04-06,26335,41,70.85,2026-04
LI-5005,2026-06-23,5771,11,11.32,2026-06
LI-5106,2026-04-06,8353,9,28.99,2026-04
LI-5101,2026-05-04,8006,11,18.27,2026-05
LI-5005,2026-04-27,8451,12,30.48,2026-04
LI-5004,2026-04-12,31305,62,108.91,2026-04
LI-5104,2026-05-19,2827,2,6.71,2026-05
LI-5003,2026-04-15,14140,14,37.82,2026-04
LI-5103,2026-06-13,4454,7,7.14,2026-06
LI-5014,2026-06-27,18248,27,38.91,2026-06
LI-5007,2026-06-02,13907,21,48.18,2026-06
LI-5013,2026-05-24,5683,9,15.01,2026-05
LI-5015,2026-06-26,13797,18,53.65,2026-06
LI-5015,2026-04-06,14261,11,45.22,2026-04
LI-5104,2026-06-14,3680,1,12.68,2026-06
LI-5002,2026-04-16,9458,18,23.17,2026-04
LI-5001,2026-06-15,55931,71,227.18,2026-06
LI-5102,2026-04-10,7656,8,25.86,2026-04
LI-5001,2026-04-12,40929,20,69.28,2026-04
LI-5104,2026-04-17,3673,6,9.52,2026-04
LI-5004,2026-06-27,39118,38,161.07,2026-06
LI-5006,2026-04-14,49716,68,169.65,2026-04
LI-5016,2026-06-04,30896,13,77.32,2026-06
LI-5001,2026-05-29,44287,54,79.9,2026-05
LI-5009,2026-04-12,13394,27,25.61,2026-04
LI-5002,2026-04-11,9711,19,22.0,2026-04
LI-5005,2026-04-13,8734,14,20.87,2026-04
LI-5009,2026-06-09,27180,29,66.21,2026-06
LI-5102,2026-05-08,5109,7,20.91,2026-05
LI-5101,2026-05-02,9278,8,37.95,2026-05
LI-5004,2026-06-25,28701,48,84.84,2026-06
LI-5106,2026-04-24,7820,9,19.74,2026-04
LI-5013,2026-05-02,6138,3,20.64,2026-05
LI-5007,2026-04-17,18436,30,30.88,2026-04
LI-5007,2026-05-08,13522,12,43.02,2026-05
LI-5102,2026-05-15,5754,3,19.33,2026-05
LI-5003,2026-06-12,20959,33,75.04,2026-06
LI-5012,2026-05-06,17204,9,28.82,2026-05
LI-5002,2026-06-14,13345,7,29.03,2026-06
LI-5105,2026-04-17,6742,10,16.65,2026-04
LI-5010,2026-06-12,28361,50,109.76,2026-06
LI-5102,2026-04-11,8228,11,27.64,2026-04
LI-5106,2026-05-03,7755,5,15.85,2026-05
LI-5011,2026-05-23,5828,9,10.13,2026-05
LI-5005,2026-06-13,5877,7,19.19,2026-06
LI-5010,2026-04-29,28456,31,90.98,2026-04
LI-5008,2026-04-20,6505,9,19.98,2026-04
LI-5015,2026-05-09,13686,13,29.58,2026-05
LI-5001,2026-06-02,37740,42,149.17,2026-06
LI-5009,2026-06-19,16497,11,41.72,2026-06
LI-5014,2026-06-11,8787,15,19.54,2026-06
LI-5008,2026-06-13,5746,7,12.73,2026-06
LI-5016,2026-06-21,34630,15,127.15,2026-06
LI-5104,2026-05-09,3310,5,5.91,2026-05
LI-5003,2026-05-09,16879,23,33.44,2026-05
LI-5002,2026-05-15,12804,9,29.55,2026-05
LI-5102,2026-06-08,7114,14,24.06,2026-06
LI-5101,2026-05-23,5610,10,19.19,2026-05
LI-5010,2026-06-23,27284,34,85.1,2026-06
LI-5001,2026-06-25,38830,79,96.62,2026-06
LI-5007,2026-05-17,9893,16,35.91,2026-05
LI-5008,2026-05-24,3875,4,15.36,2026-05
LI-5101,2026-04-20,8257,12,15.59,2026-04
LI-5102,2026-04-29,7649,9,22.32,2026-04
LI-5014,2026-05-25,14738,29,42.74,2026-05
LI-5012,2026-04-04,25981,36,72.8,2026-04
LI-5004,2026-04-05,28424,47,74.3,2026-04
LI-5104,2026-04-14,3363,1,8.15,2026-04
LI-5003,2026-05-17,17819,25,29.12,2026-05
LI-5015,2026-06-10,10162,4,24.82,2026-06
LI-5016,2026-06-20,20365,13,62.06,2026-06
LI-5010,2026-04-05,37505,35,84.97,2026-04
LI-5013,2026-05-03,5327,10,18.58,2026-05
LI-5009,2026-06-01,25556,49,62.26,2026-06
LI-5005,2026-06-24,6316,4,12.54,2026-06
LI-5001,2026-06-20,52626,27,126.76,2026-06
LI-5013,2026-06-12,8063,7,16.48,2026-06
LI-5008,2026-04-21,8466,15,35.02,2026-04
LI-5001,2026-06-05,37372,22,106.37,2026-06
LI-5015,2026-04-20,12492,25,43.12,2026-04
LI-5012,2026-04-24,21977,45,84.37,2026-04
LI-5013,2026-04-30,7302,4,25.25,2026-05
LI-5008,2026-05-25,7750,3,15.14,2026-05
LI-5102,2026-06-16,6417,9,15.45,2026-06
LI-5004,2026-05-01,30190,62,120.18,2026-05
LI-5003,2026-05-08,9358,12,27.5,2026-05
LI-5008,2026-04-10,6779,7,20.43,2026-04
LI-5006,2026-04-27,43274,57,77.82,2026-04
LI-5007,2026-04-22,10730,5,18.95,2026-04
LI-5007,2026-04-04,13139,11,30.36,2026-04
LI-5001,2026-04-02,42837,74,118.86,2026-04
LI-5009,2026-05-20,34689,60,121.83,2026-05
LI-5101,2026-06-12,6953,4,14.06,2026-06
LI-5008,2026-04-05,8270,14,24.4,2026-04
LI-5001,2026-05-30,49589,23,93.4,2026-05
LI-5009,2026-04-16,18898,33,71.45,2026-04
LI-5010,2026-05-16,18467,29,71.34,2026-05
LI-5003,2026-06-07,15740,12,63.84,2026-06
LI-5103,2026-05-16,6272,4,11.99,2026-05
LI-5002,2026-05-01,10020,4,38.77,2026-05
LI-5011,2026-04-15,7639,4,29.11,2026-04
LI-5003,2026-05-02,15512,24,61.58,2026-05
LI-5010,2026-04-27,30551,60,124.76,2026-04
LI-5101,2026-04-01,7908,10,23.61,2026-04
LI-5001,2026-04-29,43923,59,92.94,2026-04
LI-5007,2026-04-09,9872,6,32.94,2026-04
LI-5010,2026-05-22,37217,47,99.98,2026-05
LI-5102,2026-06-17,7015,7,27.85,2026-06
LI-5101,2026-05-13,9641,14,30.85,2026-05
LI-5012,2026-06-04,22095,41,41.2,2026-06
LI-5014,2026-04-08,15066,12,52.67,2026-04
LI-5013,2026-05-20,6953,8,22.03,2026-05
LI-5005,2026-05-12,4872,2,15.04,2026-05
LI-5101,2026-04-07,7764,14,29.3,2026-04
LI-5016,2026-06-23,21349,36,66.48,2026-06
LI-5106,2026-05-22,6860,10,19.23,2026-05
LI-5007,2026-06-28,15356,11,28.7,2026-06
LI-5105,2026-05-07,6445,4,15.45,2026-05
LI-5015,2026-05-18,9685,7,16.02,2026-05
LI-5105,2026-04-27,6572,6,22.74,2026-04
LI-5010,2026-04-16,39318,50,98.56,2026-04
LI-5105,2026-06-20,7647,4,15.63,2026-06
LI-5002,2026-06-02,7730,15,29.57,2026-06
LI-5106,2026-04-15,7081,8,28.02,2026-04
LI-5016,2026-06-05,31014,17,110.05,2026-06
LI-5004,2026-06-04,41095,37,99.69,2026-06
LI-5005,2026-05-30,7171,11,25.39,2026-05
LI-5103,2026-05-13,6045,5,21.13,2026-05
LI-5013,2026-06-28,6444,11,23.68,2026-06
LI-5102,2026-06-03,5991,7,15.18,2026-06
LI-5015,2026-06-04,10332,17,25.09,2026-06
LI-5103,2026-06-20,3650,3,12.25,2026-06
LI-5016,2026-06-29,29120,47,59.68,2026-06
LI-5009,2026-05-02,24850,13,51.55,2026-05
LI-5008,2026-06-21,7052,13,27.23,2026-06
LI-5006,2026-04-15,51869,49,208.28,2026-04
LI-5015,2026-04-04,12030,23,46.96,2026-04
LI-5012,2026-04-02,15672,16,57.79,2026-04
LI-5106,2026-05-07,5222,10,11.6,2026-05
LI-5102,2026-06-10,7095,13,12.84,2026-06
LI-5102,2026-06-15,4889,3,9.71,2026-06
LI-5002,2026-04-03,7532,14,26.31,2026-04
LI-5105,2026-06-21,6522,7,17.68,2026-06
LI-5009,2026-06-17,27004,23,90.75,2026-06
LI-5006,2026-05-10,50249,77,99.31,2026-05
LI-5009,2026-05-07,19730,9,59.81,2026-05
LI-5103,2026-04-11,5131,6,12.44,2026-04
LI-5102,2026-06-13,7518,15,20.71,2026-06
LI-5008,2026-05-27,9403,9,38.93,2026-05
LI-5009,2026-04-30,36160,17,63.91,2026-05
LI-5010,2026-05-09,40275,30,86.39,2026-05
LI-5009,2026-05-05,23671,28,63.39,2026-05
LI-5101,2026-05-25,8152,11,21.16,2026-05
LI-5104,2026-06-15,3509,5,6.17,2026-06
LI-5102,2026-05-19,10300,15,29.23,2026-05
LI-5001,2026-05-25,49688,39,158.36,2026-05
LI-5012,2026-04-01,25909,46,85.33,2026-04
LI-5013,2026-06-02,4178,6,10.7,2026-06
LI-5011,2026-04-27,8935,9,16.12,2026-04
LI-5103,2026-06-19,6246,4,17.5,2026-06
LI-5007,2026-04-23,11472,19,45.49,2026-04
LI-5004,2026-06-05,29598,31,119.28,2026-06
LI-5010,2026-04-23,27244,13,105.21,2026-04
LI-5008,2026-06-25,5491,4,19.0,2026-06
LI-5104,2026-04-09,1994,2,3.94,2026-04
LI-5003,2026-06-02,12250,20,32.52,2026-06
LI-5103,2026-06-10,5586,6,17.13,2026-06
LI-5007,2026-05-05,13642,11,29.01,2026-05
LI-5016,2026-06-24,26548,21,47.08,2026-06
LI-5106,2026-05-07,5222,10,11.6,2026-05
LI-5105,2026-04-12,6093,10,11.91,2026-04
LI-5004,2026-06-21,23863,46,43.44,2026-06
LI-5015,2026-05-12,17642,23,46.47,2026-05
LI-5010,2026-06-07,36116,20,119.52,2026-06
LI-5004,2026-04-13,35798,42,148.38,2026-04
LI-5010,2026-05-23,33838,41,64.48,2026-05
LI-5012,2026-05-22,17713,34,62.55,2026-05
LI-5106,2026-05-25,6005,7,18.37,2026-05
LI-5012,2026-05-27,17478,35,58.17,2026-05
LI-5004,2026-05-10,30336,29,107.28,2026-05
LI-5004,2026-04-23,26847,54,94.21,2026-04
LI-5001,2026-04-14,51358,88,125.74,2026-04
LI-5103,2026-05-05,5244,4,13.55,2026-05
LI-5012,2026-06-29,23688,19,40.85,2026-06
LI-5011,2026-05-16,8018,8,32.97,2026-05
LI-5013,2026-04-16,7702,7,19.46,2026-04
LI-5012,2026-05-14,18146,16,49.18,2026-05
LI-5012,2026-06-13,16764,29,53.36,2026-06
LI-5008,2026-04-27,9279,5,25.16,2026-04
LI-5101,2026-06-22,7923,10,20.41,2026-06
LI-5007,2026-05-15,11403,5,30.86,2026-05
LI-5008,2026-05-06,8866,12,30.35,2026-05
LI-5005,2026-06-25,6643,10,18.97,2026-06
LI-5002,2026-05-11,9884,20,33.4,2026-05
LI-5014,2026-06-09,10350,21,29.97,2026-06
LI-5008,2026-05-22,4010,4,9.3,2026-05
LI-5007,2026-06-19,11652,16,41.66,2026-06
LI-5011,2026-06-15,6499,3,12.36,2026-06
LI-5014,2026-06-30,12563,18,23.01,2026-06
LI-5105,2026-05-19,6848,6,19.71,2026-05
LI-5008,2026-04-08,7538,4,23.73,2026-04
LI-5006,2026-06-11,66369,127,246.9,2026-06
LI-5006,2026-05-14,48954,82,174.01,2026-05
LI-5104,2026-06-13,3406,5,7.89,2026-06
LI-5013,2026-06-21,6889,5,21.31,2026-06
LI-5002,2026-05-07,9280,7,18.25,2026-05
LI-5010,2026-05-15,33204,17,70.87,2026-05
LI-5015,2026-04-23,11407,17,30.34,2026-04
LI-5003,2026-06-08,16128,24,39.97,2026-06
LI-5007,2026-05-20,17416,18,39.1,2026-05
LI-5004,2026-04-15,32200,19,103.78,2026-04
LI-5002,2026-06-11,9813,15,37.13,2026-06
LI-5013,2026-06-24,6190,7,20.23,2026-06
LI-5103,2026-05-24,4164,5,8.03,2026-05
LI-5005,2026-06-19,4951,7,9.21,2026-06
LI-5002,2026-04-07,6901,11,11.58,2026-04
LI-5004,2026-06-19,41078,71,74.7,2026-06
LI-5005,2026-06-04,3685,6,14.1,2026-06
LI-5015,2026-06-28,17602,20,61.02,2026-06
LI-5011,2026-05-10,7278,9,22.01,2026-05
LI-5008,2026-05-07,7455,9,25.5,2026-05
LI-5006,2026-05-22,47648,77,187.75,2026-05
LI-5008,2026-04-19,7540,3,12.54,2026-04
LI-5007,2026-05-26,14847,25,46.95,2026-05
LI-5012,2026-06-22,25975,37,98.74,2026-06
LI-5004,2026-05-28,14333,22,33.48,2026-05
LI-5014,2026-05-15,16447,32,41.89,2026-05
LI-5010,2026-06-01,16424,25,26.82,2026-06
LI-5004,2026-06-03,30795,35,113.57,2026-06
LI-5008,2026-06-02,8758,13,26.49,2026-06
LI-5011,2026-06-19,8311,16,25.4,2026-06
LI-5004,2026-05-24,38524,34,139.31,2026-05
LI-5012,2026-04-11,19113,15,42.67,2026-04
LI-5012,2026-05-21,21237,28,65.72,2026-05
LI-5001,2026-06-28,37031,74,62.16,2026-06
LI-5016,2026-06-17,19590,16,41.39,2026-06
LI-5105,2026-05-30,4910,4,8.44,2026-05
LI-5002,2026-04-21,5367,5,10.49,2026-04
LI-5007,2026-06-15,13984,14,24.17,2026-06
LI-5004,2026-06-16,22346,30,91.9,2026-06
LI-5102,2026-05-24,7131,13,18.32,2026-05
LI-5005,2026-06-30,3248,4,7.4,2026-06
LI-5102,2026-05-02,3535,2,9.91,2026-05
LI-5004,2026-05-03,38077,19,87.75,2026-05
LI-5016,2026-06-30,36939,51,82.44,2026-06
LI-5015,2026-05-14,10122,14,38.15,2026-05
LI-5005,2026-05-13,7241,5,15.43,2026-05
LI-5105,2026-04-23,4309,6,16.47,2026-04
LI-5001,2026-06-09,41369,21,110.44,2026-06
LI-5006,2026-06-14,58250,26,229.28,2026-06
LI-5003,2026-04-20,21271,39,46.9,2026-04
LI-5102,2026-04-02,3228,6,6.07,2026-04
LI-5104,2026-04-19,1938,0,6.96,2026-04
LI-5101,2026-04-06,3852,3,8.08,2026-04
LI-5103,2026-04-24,4426,6,17.17,2026-04
LI-5004,2026-05-29,23640,15,59.82,2026-05
LI-5012,2026-05-05,21763,29,49.68,2026-05
LI-5001,2026-05-31,29849,37,67.56,2026-06
LI-5014,2026-05-20,12708,9,50.73,2026-05
LI-5006,2026-06-09,55168,44,131.19,2026-06
LI-5103,2026-06-28,1750,3,7.06,2026-06
LI-5006,2026-05-04,47985,35,135.17,2026-05
LI-5011,2026-04-17,8457,10,22.47,2026-04
LI-5011,2026-04-07,7930,10,15.26,2026-04
LI-5012,2026-05-04,26659,40,62.51,2026-05
LI-5013,2026-06-19,4521,5,11.69,2026-06
LI-5012,2026-06-23,18240,31,61.0,2026-06
LI-5003,2026-05-23,12131,23,44.7,2026-05
LI-5006,2026-04-17,53843,32,222.44,2026-04
LI-5004,2026-05-11,18972,34,34.02,2026-05
LI-5015,2026-06-11,12532,17,44.87,2026-06
LI-5103,2026-06-17,4031,5,13.44,2026-06
LI-5106,2026-06-03,5708,6,15.07,2026-06
LI-5004,2026-05-25,34164,18,73.61,2026-05
LI-5009,2026-06-24,28207,52,91.23,2026-06
LI-5007,2026-04-19,10977,21,35.31,2026-04
LI-5105,2026-05-07,6445,4,15.45,2026-05
LI-5009,2026-04-10,16559,9,28.32,2026-04
LI-5006,2026-04-25,49911,40,154.29,2026-04
LI-5015,2026-04-29,8447,8,33.77,2026-04
LI-5014,2026-06-20,14205,28,46.29,2026-06
LI-5009,2026-04-01,19211,11,49.57,2026-04
LI-5006,2026-06-02,61527,94,237.06,2026-06
LI-5002,2026-05-12,11171,8,31.67,2026-05
LI-5007,2026-04-05,17248,30,51.11,2026-04
LI-5105,2026-04-19,9223,18,32.6,2026-04
LI-5014,2026-04-11,9791,11,33.85,2026-04
LI-5007,2026-05-31,11794,15,33.34,2026-06
LI-5009,2026-06-18,19501,39,47.54,2026-06
LI-5004,2026-04-26,23850,34,60.43,2026-04
LI-5101,2026-06-14,6246,11,16.18,2026-06
LI-5006,2026-06-30,49256,56,88.93,2026-06
LI-5105,2026-05-14,7592,13,21.26,2026-05
LI-5013,2026-05-07,5682,2,11.82,2026-05
LI-5008,2026-05-30,8237,6,13.2,2026-05
LI-5101,2026-05-17,9472,15,19.72,2026-05
LI-5004,2026-06-14,33703,29,55.87,2026-06
LI-5012,2026-04-27,16995,11,71.2,2026-04
LI-5101,2026-06-18,7453,4,17.48,2026-06
LI-5101,2026-04-04,5901,5,9.93,2026-04
LI-5010,2026-06-27,24119,48,82.23,2026-06
LI-5014,2026-04-07,15005,23,29.0,2026-04
LI-5105,2026-04-07,10332,9,40.88,2026-04
LI-5106,2026-05-02,5948,10,22.67,2026-05
LI-5104,2026-04-29,4450,8,9.1,2026-04
LI-5015,2026-06-09,16054,24,64.97,2026-06
LI-5014,2026-04-18,12913,10,30.33,2026-04
LI-5003,2026-05-13,16665,8,67.89,2026-05
LI-5010,2026-06-25,40617,51,75.12,2026-06
LI-5008,2026-04-07,9199,7,15.69,2026-04
LI-5008,2026-06-12,9773,8,34.67,2026-06
LI-5008,2026-04-29,8906,9,21.85,2026-04
LI-5105,2026-05-24,7852,10,31.29,2026-05
LI-5999,2026-04-10,29906,36,123.52,2026-04
LI-5106,2026-04-25,7985,11,23.46,2026-04
LI-5008,2026-06-11,5732,7,14.68,2026-06
LI-5010,2026-05-08,34404,69,113.93,2026-05
LI-5014,2026-06-03,18240,9,32.06,2026-06
LI-5104,2026-05-30,3561,5,9.97,2026-05
LI-5014,2026-05-13,16796,8,59.91,2026-05
LI-5014,2026-05-08,12931,17,30.87,2026-05
LI-5999,2026-04-08,33747,67,60.44,2026-04
LI-5102,2026-06-19,7175,4,14.13,2026-06
LI-5014,2026-06-08,11123,16,42.91,2026-06
LI-5104,2026-05-13,3398,3,10.26,2026-05
LI-5013,2026-05-25,6449,3,13.05,2026-05
LI-5002,2026-06-27,7163,12,21.94,2026-06
LI-5011,2026-06-10,6208,3,22.55,2026-06
LI-5003,2026-05-21,17709,12,35.94,2026-05
LI-5102,2026-04-12,6152,8,23.93,2026-04
LI-5015,2026-04-13,11921,11,32.3,2026-04
LI-5009,2026-05-19,27774,36,102.94,2026-05
LI-5006,2026-05-16,63896,116,244.28,2026-05
LI-5005,2026-04-02,6346,6,10.22,2026-04
LI-5102,2026-04-21,7349,6,24.52,2026-04
LI-5012,2026-06-18,16070,31,30.27,2026-06
LI-5104,2026-05-04,2549,1,10.03,2026-05
LI-5999,2026-04-09,26441,51,71.83,2026-04
LI-5010,2026-05-10,39285,66,80.37,2026-05
LI-5009,2026-04-15,29453,30,70.8,2026-04
LI-5014,2026-06-02,9751,17,16.65,2026-06
LI-5004,2026-06-28,37798,58,108.99,2026-06
LI-5015,2026-05-27,11720,14,29.7,2026-05
LI-5004,2026-06-18,32346,16,97.74,2026-06
LI-5009,2026-06-22,30279,45,65.16,2026-06
LI-5106,2026-05-17,9314,19,17.93,2026-05
LI-5106,2026-04-03,6996,10,11.27,2026-04
LI-5009,2026-04-03,28556,20,46.71,2026-04
LI-5010,2026-04-02,37643,43,88.04,2026-04
LI-5016,2026-06-14,26878,19,57.0,2026-06
